name: 🇨🇿 Czechia-8006 | avg_speed: 32.701 MB/s | delay: 17 ms
name: 🇺🇸 USA-8183 | avg_speed: 8.766 MB/s | delay: 257 ms
name: 🇺🇸 USA-2866 | avg_speed: 8.092 MB/s | delay: 103 ms
name: 🇺🇸 USA-7453 | avg_speed: 8.231 MB/s | delay: 152 ms
name: 🇺🇸 USA-9881 | avg_speed: 11.640 MB/s | delay: 1630 ms
name: 🇨🇦 Canada-7528 | avg_speed: 8.169 MB/s | delay: 155 ms
name: 🏁 Relay-9014 | avg_speed: 7.746 MB/s | delay: 78 ms
name: 🏁 Relay-5833 | avg_speed: 7.675 MB/s | delay: 81 ms
name: 🇨🇾 Cyprus-8023 | avg_speed: 8.394 MB/s | delay: 276 ms
name: 🇨🇿 Czechia-2939 | avg_speed: 7.722 MB/s | delay: 112 ms
name: 🇺🇸 USA-3393 | avg_speed: 7.718 MB/s | delay: 111 ms
name: 🏁 Relay-8398 | avg_speed: 7.727 MB/s | delay: 119 ms
name: 🏁 Relay-7485 | avg_speed: 7.521 MB/s | delay: 75 ms
name: 🇨🇦 Canada-9788 | avg_speed: 7.594 MB/s | delay: 108 ms
name: 🏁 Relay-1807 | avg_speed: 7.447 MB/s | delay: 84 ms
name: 🇺🇸 USA-8652 | avg_speed: 7.548 MB/s | delay: 111 ms
name: 🏁 Relay-9880 | avg_speed: 7.557 MB/s | delay: 115 ms
name: 🏁 Relay-7704 | avg_speed: 7.477 MB/s | delay: 102 ms
name: 🇺🇸 USA-4492 | avg_speed: 7.463 MB/s | delay: 111 ms
name: 🏁 Relay-2956 | avg_speed: 8.383 MB/s | delay: 346 ms
name: 🏁 Relay-5658 | avg_speed: 7.535 MB/s | delay: 148 ms
name: 🇺🇸 USA-4864 | avg_speed: 7.315 MB/s | delay: 112 ms
name: 🏁 Relay-5553 | avg_speed: 7.115 MB/s | delay: 71 ms
name: 🇺🇸 USA-4571 | avg_speed: 7.261 MB/s | delay: 112 ms
name: 🏁 Relay-6394 | avg_speed: 7.013 MB/s | delay: 60 ms
name: 🇩🇪 Germany-6040 | avg_speed: 7.210 MB/s | delay: 110 ms
name: 🏁 Relay-1343 | avg_speed: 7.183 MB/s | delay: 116 ms
name: 🇺🇸 USA-1478 | avg_speed: 7.109 MB/s | delay: 111 ms
name: 🏁 Relay-8474 | avg_speed: 7.119 MB/s | delay: 114 ms
name: 🇺🇸 USA-8336 | avg_speed: 7.007 MB/s | delay: 111 ms
name: 🇺🇸 USA-2845 | avg_speed: 7.010 MB/s | delay: 126 ms
name: 🏁 Relay-7375 | avg_speed: 6.828 MB/s | delay: 89 ms
name: 🇺🇸 USA-6489 | avg_speed: 6.887 MB/s | delay: 111 ms
name: 🏁 Relay-5723 | avg_speed: 6.738 MB/s | delay: 82 ms
name: 🏁 Relay-3440 | avg_speed: 6.753 MB/s | delay: 87 ms
name: 🇺🇸 USA-1956 | avg_speed: 6.799 MB/s | delay: 103 ms
name: 🇺🇸 USA-5911 | avg_speed: 6.821 MB/s | delay: 121 ms
name: 🇺🇸 USA-3022 | avg_speed: 6.799 MB/s | delay: 116 ms
name: 🏁 Relay-9887 | avg_speed: 6.622 MB/s | delay: 84 ms
name: 🇩🇪 Germany-6559 | avg_speed: 7.263 MB/s | delay: 263 ms
name: 🇺🇸 USA-7673 | avg_speed: 6.632 MB/s | delay: 112 ms
name: 🇨🇦 Canada-8281 | avg_speed: 6.755 MB/s | delay: 147 ms
name: 🏁 Relay-3931 | avg_speed: 6.498 MB/s | delay: 90 ms
name: 🏁 Relay-2942 | avg_speed: 6.479 MB/s | delay: 93 ms
name: 🏁 Relay-2102 | avg_speed: 6.844 MB/s | delay: 183 ms
name: 🇺🇸 USA-8097 | avg_speed: 6.569 MB/s | delay: 117 ms
name: 🏁 Relay-2030 | avg_speed: 6.433 MB/s | delay: 90 ms
name: 🏁 Relay-8412 | avg_speed: 6.364 MB/s | delay: 82 ms
name: 🏁 Relay-7841 | avg_speed: 8.012 MB/s | delay: 488 ms
name: 🇺🇸 USA-5140 | avg_speed: 6.472 MB/s | delay: 113 ms
name: 🇺🇸 USA-5202 | avg_speed: 6.520 MB/s | delay: 130 ms
name: 🇺🇸 USA-2807 | avg_speed: 6.397 MB/s | delay: 101 ms
name: 🏁 Relay-1594 | avg_speed: 6.379 MB/s | delay: 111 ms
name: 🇺🇸 USA-1842 | avg_speed: 6.338 MB/s | delay: 105 ms
name: 🇩🇪 Germany-8255 | avg_speed: 6.233 MB/s | delay: 118 ms
name: 🇺🇸 USA-7351 | avg_speed: 6.123 MB/s | delay: 113 ms
name: 🏁 Relay-2321 | avg_speed: 6.076 MB/s | delay: 104 ms
name: 🇨🇦 Canada-9717 | avg_speed: 6.077 MB/s | delay: 104 ms
name: 🏁 Relay-9663 | avg_speed: 6.356 MB/s | delay: 173 ms
name: 🇺🇸 USA-1207 | avg_speed: 6.166 MB/s | delay: 139 ms
name: 🇺🇸 USA-4609 | avg_speed: 6.529 MB/s | delay: 239 ms
name: 🇨🇦 Canada-4361 | avg_speed: 6.058 MB/s | delay: 128 ms
name: 🏁 Relay-7269 | avg_speed: 5.576 MB/s | delay: 31 ms
name: 🏁 Relay-7720 | avg_speed: 5.710 MB/s | delay: 66 ms
name: 🏁 Relay-7642 | avg_speed: 5.748 MB/s | delay: 83 ms
name: 🇺🇸 USA-6172 | avg_speed: 5.853 MB/s | delay: 114 ms
name: 🏁 Relay-5244 | avg_speed: 5.790 MB/s | delay: 101 ms
name: 🇺🇸 USA-2906 | avg_speed: 5.936 MB/s | delay: 145 ms
name: 🇺🇸 USA-5179 | avg_speed: 6.128 MB/s | delay: 192 ms
name: 🏁 Relay-3138 | avg_speed: 5.778 MB/s | delay: 109 ms
name: 🇩🇪 Germany-6292 | avg_speed: 5.879 MB/s | delay: 137 ms
name: 🏁 Relay-9987 | avg_speed: 5.678 MB/s | delay: 88 ms
name: 🏁 Relay-7870 | avg_speed: 6.255 MB/s | delay: 235 ms
name: 🇩🇪 Germany-3026 | avg_speed: 5.697 MB/s | delay: 119 ms
name: 🇺🇸 USA-6505 | avg_speed: 9.251 MB/s | delay: 3959 ms
name: 🇩🇪 Germany-8964 | avg_speed: 5.657 MB/s | delay: 122 ms
name: 🇩🇪 Germany-5670 | avg_speed: 5.635 MB/s | delay: 118 ms
name: 🇩🇪 Germany-9286 | avg_speed: 5.630 MB/s | delay: 119 ms
name: 🏁 Relay-7952 | avg_speed: 5.468 MB/s | delay: 80 ms
name: 🇩🇪 Germany-5716 | avg_speed: 5.628 MB/s | delay: 120 ms
name: 🏁 Relay-9953 | avg_speed: 5.532 MB/s | delay: 115 ms
name: 🏁 Relay-3869 | avg_speed: 5.264 MB/s | delay: 51 ms
name: 🏁 Relay-5467 | avg_speed: 5.247 MB/s | delay: 50 ms
name: 🏁 Relay-7696 | avg_speed: 5.415 MB/s | delay: 93 ms
name: 🇩🇪 Germany-6956 | avg_speed: 5.519 MB/s | delay: 119 ms
name: 🇩🇪 Germany-5178 | avg_speed: 5.524 MB/s | delay: 121 ms
name: 🇩🇪 Germany-7161 | avg_speed: 5.507 MB/s | delay: 127 ms
name: 🇺🇸 USA-1813 | avg_speed: 5.563 MB/s | delay: 144 ms
name: 🇺🇸 USA-5184 | avg_speed: 5.978 MB/s | delay: 249 ms
name: 🇺🇸 USA-1385 | avg_speed: 5.564 MB/s | delay: 152 ms
name: 🇺🇸 USA-3434 | avg_speed: 5.357 MB/s | delay: 110 ms
name: 🇨🇦 Canada-4662 | avg_speed: 5.409 MB/s | delay: 125 ms
name: 🏁 Relay-1575 | avg_speed: 5.291 MB/s | delay: 100 ms
name: 🇩🇪 Germany-5313 | avg_speed: 5.433 MB/s | delay: 143 ms
name: 🏁 Relay-8909 | avg_speed: 5.202 MB/s | delay: 95 ms
name: 🏁 Relay-8401 | avg_speed: 5.149 MB/s | delay: 89 ms
name: 🇺🇸 USA-8769 | avg_speed: 5.364 MB/s | delay: 144 ms
name: 🇺🇸 USA-2714 | avg_speed: 5.371 MB/s | delay: 150 ms
name: 🇩🇪 Germany-7365 | avg_speed: 5.255 MB/s | delay: 122 ms
name: 🇲🇭 Marshall-Islands-2081 | avg_speed: 4.972 MB/s | delay: 53 ms
name: 🇺🇸 USA-1204 | avg_speed: 5.223 MB/s | delay: 119 ms
name: 🏁 Relay-4544 | avg_speed: 5.020 MB/s | delay: 78 ms
name: 🇺🇸 USA-1617 | avg_speed: 5.160 MB/s | delay: 122 ms
name: 🇺🇸 USA-4774 | avg_speed: 5.139 MB/s | delay: 117 ms
name: 🇨🇦 Canada-2627 | avg_speed: 6.989 MB/s | delay: 579 ms
name: 🏁 Relay-9299 | avg_speed: 4.917 MB/s | delay: 72 ms
name: 🇺🇸 USA-7606 | avg_speed: 5.308 MB/s | delay: 170 ms
name: 🏁 Relay-8037 | avg_speed: 4.932 MB/s | delay: 79 ms
name: 🇨🇦 Canada-9566 | avg_speed: 5.047 MB/s | delay: 110 ms
name: 🏁 Relay-9437 | avg_speed: 4.738 MB/s | delay: 40 ms
name: 🏁 Relay-7573 | avg_speed: 5.033 MB/s | delay: 119 ms
name: 🏁 Relay-1684 | avg_speed: 4.708 MB/s | delay: 76 ms
name: 🇺🇸 USA-7211 | avg_speed: 5.034 MB/s | delay: 162 ms
name: 🏁 Relay-8080 | avg_speed: 4.788 MB/s | delay: 104 ms
name: 🇩🇪 Germany-4882 | avg_speed: 4.840 MB/s | delay: 122 ms
name: 🇩🇪 Germany-1653 | avg_speed: 4.448 MB/s | delay: 30 ms
name: 🏁 Relay-3582 | avg_speed: 4.390 MB/s | delay: 18 ms
name: 🏁 Relay-3023 | avg_speed: 4.592 MB/s | delay: 69 ms
name: 🏁 Relay-3754 | avg_speed: 4.743 MB/s | delay: 127 ms
name: 🏁 Relay-9184 | avg_speed: 4.560 MB/s | delay: 89 ms
name: 🇩🇪 Germany-8117 | avg_speed: 8.226 MB/s | delay: 2090 ms
name: 🏁 Relay-4223 | avg_speed: 6.451 MB/s | delay: 575 ms
name: 🇨🇦 Canada-3369 | avg_speed: 4.585 MB/s | delay: 119 ms
name: 🏁 Relay-7754 | avg_speed: 4.630 MB/s | delay: 133 ms
name: 🇩🇪 Germany-3534 | avg_speed: 5.097 MB/s | delay: 252 ms
name: 🇺🇸 USA-3922 | avg_speed: 4.648 MB/s | delay: 142 ms
name: 🇺🇸 USA-8125 | avg_speed: 5.087 MB/s | delay: 251 ms
name: 🇺🇸 USA-5989 | avg_speed: 4.701 MB/s | delay: 159 ms
name: 🇺🇸 USA-4658 | avg_speed: 4.570 MB/s | delay: 131 ms
name: 🇩🇪 Germany-1851 | avg_speed: 4.309 MB/s | delay: 69 ms
name: 🇩🇪 Germany-2085 | avg_speed: 4.523 MB/s | delay: 129 ms
name: 🏁 Relay-8759 | avg_speed: 5.150 MB/s | delay: 292 ms
name: 🏁 Relay-9765 | avg_speed: 4.852 MB/s | delay: 220 ms
name: 🇨🇦 Canada-7806 | avg_speed: 4.606 MB/s | delay: 164 ms
name: 🏁 Relay-2414 | avg_speed: 6.307 MB/s | delay: 581 ms
name: 🇺🇸 USA-7530 | avg_speed: 4.602 MB/s | delay: 164 ms
name: 🇩🇪 Germany-2925 | avg_speed: 4.383 MB/s | delay: 120 ms
name: 🏁 Relay-6035 | avg_speed: 5.639 MB/s | delay: 431 ms
name: 🇺🇸 USA-3705 | avg_speed: 4.745 MB/s | delay: 229 ms
name: 🏁 Relay-8294 | avg_speed: 3.858 MB/s | delay: 24 ms
name: 🏁 Relay-7433 | avg_speed: 3.914 MB/s | delay: 51 ms
name: 🏁 Relay-1338 | avg_speed: 3.879 MB/s | delay: 44 ms
name: 🇩🇪 Germany-9850 | avg_speed: 4.206 MB/s | delay: 124 ms
name: 🏁 Relay-2229 | avg_speed: 3.997 MB/s | delay: 77 ms
name: 🏁 Relay-7020 | avg_speed: 3.833 MB/s | delay: 40 ms
name: 🏁 Relay-1893 | avg_speed: 5.268 MB/s | delay: 393 ms
name: 🏁 Relay-7613 | avg_speed: 3.902 MB/s | delay: 61 ms
name: 🏁 Relay-5516 | avg_speed: 4.012 MB/s | delay: 92 ms
name: 🏁 Relay-7747 | avg_speed: 4.101 MB/s | delay: 119 ms
name: 🇧🇿 Belize-8679 | avg_speed: 3.863 MB/s | delay: 66 ms
name: 🇩🇪 Germany-6252 | avg_speed: 4.617 MB/s | delay: 253 ms
name: 🏁 Relay-2915 | avg_speed: 4.123 MB/s | delay: 133 ms
name: 🏁 Relay-4644 | avg_speed: 4.656 MB/s | delay: 267 ms
name: 🏁 Relay-4883 | avg_speed: 3.756 MB/s | delay: 52 ms
name: 🇺🇸 USA-4062 | avg_speed: 4.294 MB/s | delay: 186 ms
name: 🏁 Relay-2455 | avg_speed: 3.741 MB/s | delay: 51 ms
name: 🇺🇸 USA-6615 | avg_speed: 4.322 MB/s | delay: 194 ms
name: 🏁 Relay-4272 | avg_speed: 3.790 MB/s | delay: 64 ms
name: 🏁 Relay-8865 | avg_speed: 3.708 MB/s | delay: 45 ms
name: 🏁 Relay-1546 | avg_speed: 3.794 MB/s | delay: 72 ms
name: 🏁 Relay-7840 | avg_speed: 4.562 MB/s | delay: 260 ms
name: 🏁 Relay-7780 | avg_speed: 3.670 MB/s | delay: 45 ms
name: 🏁 Relay-9042 | avg_speed: 3.713 MB/s | delay: 57 ms
name: 🏁 Relay-5360 | avg_speed: 4.555 MB/s | delay: 263 ms
name: 🏁 Relay-8547 | avg_speed: 3.657 MB/s | delay: 48 ms
name: 🏁 Relay-1207 | avg_speed: 3.876 MB/s | delay: 103 ms
name: 🏁 Relay-6201 | avg_speed: 3.632 MB/s | delay: 45 ms
name: 🏁 Relay-6546 | avg_speed: 4.526 MB/s | delay: 264 ms
name: 🏁 Relay-8090 | avg_speed: 3.675 MB/s | delay: 60 ms
name: 🏁 Relay-6249 | avg_speed: 3.647 MB/s | delay: 55 ms
name: 🇺🇸 USA-1549 | avg_speed: 4.517 MB/s | delay: 269 ms
name: 🏁 Relay-9257 | avg_speed: 3.581 MB/s | delay: 43 ms
name: 🏁 Relay-5520 | avg_speed: 3.714 MB/s | delay: 80 ms
name: 🇺🇸 USA-4006 | avg_speed: 3.840 MB/s | delay: 113 ms
name: 🏁 Relay-3145 | avg_speed: 3.702 MB/s | delay: 81 ms
name: 🇺🇸 USA-8058 | avg_speed: 4.050 MB/s | delay: 166 ms
name: 🏁 Relay-4353 | avg_speed: 3.608 MB/s | delay: 61 ms
name: 🏁 Relay-7868 | avg_speed: 3.763 MB/s | delay: 99 ms
name: 🇺🇸 USA-2059 | avg_speed: 3.836 MB/s | delay: 119 ms
name: 🏁 Relay-8547 | avg_speed: 4.504 MB/s | delay: 285 ms
name: 🇨🇦 Canada-3301 | avg_speed: 3.822 MB/s | delay: 118 ms
name: 🏁 Relay-3759 | avg_speed: 3.565 MB/s | delay: 56 ms
name: 🏁 Relay-3575 | avg_speed: 3.498 MB/s | delay: 44 ms
name: 🇬🇹 Guatemala-6533 | avg_speed: 4.207 MB/s | delay: 218 ms
name: 🏁 Relay-6385 | avg_speed: 3.516 MB/s | delay: 51 ms
name: 🏁 Relay-9120 | avg_speed: 3.495 MB/s | delay: 51 ms
name: 🏁 Relay-6121 | avg_speed: 3.489 MB/s | delay: 51 ms
name: 🏁 Relay-8768 | avg_speed: 4.396 MB/s | delay: 274 ms
name: 🏁 Relay-5648 | avg_speed: 3.557 MB/s | delay: 70 ms
name: 🏁 Relay-8956 | avg_speed: 3.525 MB/s | delay: 62 ms
name: 🏁 Relay-5364 | avg_speed: 3.547 MB/s | delay: 70 ms
name: 🏁 Relay-9836 | avg_speed: 3.733 MB/s | delay: 116 ms
name: 🏁 Relay-8945 | avg_speed: 3.658 MB/s | delay: 100 ms
name: 🏁 Relay-9300 | avg_speed: 3.428 MB/s | delay: 44 ms
name: 🇺🇸 USA-7230 | avg_speed: 4.100 MB/s | delay: 209 ms
name: 🏁 Relay-1429 | avg_speed: 3.568 MB/s | delay: 79 ms
name: 🏁 Relay-9430 | avg_speed: 3.534 MB/s | delay: 72 ms
name: 🏁 Relay-1815 | avg_speed: 3.618 MB/s | delay: 93 ms
name: 🏁 Relay-6363 | avg_speed: 3.496 MB/s | delay: 64 ms
name: 🇩🇪 Germany-7008 | avg_speed: 7.318 MB/s | delay: 2351 ms
name: 🏁 Relay-4884 | avg_speed: 3.404 MB/s | delay: 44 ms
name: 🏁 Relay-2080 | avg_speed: 3.415 MB/s | delay: 49 ms
name: 🏁 Relay-3123 | avg_speed: 3.451 MB/s | delay: 58 ms
name: 🏁 Relay-2428 | avg_speed: 3.382 MB/s | delay: 42 ms
name: 🏁 Relay-4749 | avg_speed: 3.572 MB/s | delay: 90 ms
name: 🏁 Relay-2313 | avg_speed: 3.454 MB/s | delay: 62 ms
name: 🏁 Relay-9869 | avg_speed: 3.458 MB/s | delay: 63 ms
name: 🇺🇸 USA-1651 | avg_speed: 4.310 MB/s | delay: 273 ms
name: 🏁 Relay-7670 | avg_speed: 3.444 MB/s | delay: 62 ms
name: 🏁 Relay-3564 | avg_speed: 3.365 MB/s | delay: 43 ms
name: 🏁 Relay-2156 | avg_speed: 3.593 MB/s | delay: 99 ms
name: 🏁 Relay-9436 | avg_speed: 3.411 MB/s | delay: 56 ms
name: 🏁 Relay-7651 | avg_speed: 3.488 MB/s | delay: 77 ms
name: 🇺🇸 USA-7957 | avg_speed: 4.089 MB/s | delay: 225 ms
name: 🏁 Relay-6329 | avg_speed: 3.338 MB/s | delay: 42 ms
name: 🏁 Relay-8855 | avg_speed: 3.342 MB/s | delay: 44 ms
name: 🏁 Relay-1233 | avg_speed: 3.496 MB/s | delay: 82 ms
name: 🏁 Relay-7914 | avg_speed: 3.329 MB/s | delay: 44 ms
name: 🇺🇸 USA-7406 | avg_speed: 3.735 MB/s | delay: 144 ms
name: 🏁 Relay-9248 | avg_speed: 4.535 MB/s | delay: 344 ms
name: 🏁 Relay-6632 | avg_speed: 3.507 MB/s | delay: 93 ms
name: 🏁 Relay-7602 | avg_speed: 4.463 MB/s | delay: 328 ms
